simbad_name,ra_hms,dec_dms,Vmag,Imag,WFS6535 mag,WFSHaIR mag,phot_g_mean_mag,vetted,n_sys,pmra,pmdec,parallax,bp_rp,source_id,ra,dec,Num
  8 CMa,06:37:53.41,-18:14:15.07,4.429999828338623,3.7719941013422513,3.521083246192976,3.4069274821712963,4.103014,N,1,-7.1659155643697225,-8.777129602341436,6.787632050649171,1.3125026,2940472157174944128,99.47255555907884,-18.237519694472574,90
* nu.03 CMa,06:37:53.42,-18:14:14.93,,2.9700000286102295,,,,N,1,-7.166,-8.777,,,,99.47258909203,-18.23748068501,91
HD  47973,06:38:37.64,-48:13:12.34,5.03000020980835,4.508348958770078,4.268184604166999,4.183509375588498,4.7750874,N,1,4.002603316010442,19.657688469508656,6.6546727069447185,1.132772,5551248086235237248,99.65684226005035,-48.22009630685494,92
* alf CMa,06:45:08.91,-16:42:58.01,-1.4600000381469727,-1.4299999475479126,,,,N,1,-546.01,-1223.07,,,,101.28715533333335,-16.71611586111111,93
HD  49689,06:46:52.63,-51:15:57.83,5.379000186920166,4.489897840352967,4.183973857474366,4.042065048319825,4.9148126,N,1,-21.771059944689796,-89.5104404580339,3.5149788799459545,1.559176,5502040955163208832,101.71931735425844,-51.26606568710988,94
* tau Pup,06:49:56.16,-50:36:52.33,2.930000066757202,,,,,N,1,32.618,-69.566,,,,102.48403810537876,-50.61453869751139,95
HD  50235,06:50:52.35,-34:22:02.32,4.988999843597412,4.184264623863946,3.9157616580993304,3.7915018215465794,4.5753856,N,1,3.451580327625238,1.1289142877930871,3.6370145070713833,1.4798305,5579392388451841152,102.71815035084332,-34.36731333609148,96
HD  50648,06:53:00.28,-26:57:28.52,6.440000057220459,4.123430015406051,2.907362428842351,2.617470425431703,4.8086596,N,1,-10.915258791566028,-65.65216154276494,4.219605347516932,3.224538,2919162827256917376,103.25119371373226,-26.95792453527667,97
 15 CMa,06:53:32.90,-20:13:27.23,4.829999923706055,5.300262753521672,4.8406917495684905,4.877197525931319,4.7663326,N,1,-5.837851419364857,4.559535369497517,2.682040418514686,-0.31521988,2932263546963330176,103.38708452690732,-20.224232345171853,98
* omi01 CMa,06:54:07.95,-24:11:03.15,,1.8799999952316284,,,,N,1,-3.771,4.066,,,,103.53313445883,-24.18421097264,99
* tet CMa,06:54:11.39,-12:02:19.06,,2.1700000762939453,,,,N,1,-136.654,-14.322,,,,103.54749525536,-12.038628101049998,100
 18 CMa,06:56:06.64,-14:02:36.24,5.090000152587891,4.163995239669546,3.8250549738660666,3.718762213338014,4.5929117,N,1,-1.1064889251859162,6.382673259372397,3.421917408379425,1.6273775,2949326146358060416,104.02768626148816,-14.043402533581608,101
HD  51799,06:56:15.98,-48:43:16.11,,2.2899999618530273,,,,N,1,1.103,8.16,,,,104.06662450585918,-48.72114336132056,102
Cl Collinder  121,06:56:20,-24:43:48,2.5999999046325684,,,,,N,1,-5.11,4.58,,,,104.08333333333336,-24.729999999999997,103
* eps CMa,06:58:37.54,-28:58:19.51,1.5,1.7999999523162842,,,,N,1,3.24,1.33,,,,104.65645315148348,-28.972086157360806,104
* sig CMa,07:01:43.14,-27:56:05.38,,1.149999976158142,,,,N,1,-5.714,4.89,,,,105.42978350186792,-27.934830340443888,105
HD  54893,07:08:51.05,-39:39:20.23,4.829999923706055,5.27526886789466,4.8314596374244525,4.866163334672199,4.782602,N,1,-10.576515010637486,7.784605965648896,3.774343648442516,-0.23598862,5564659825994306176,107.21272288090462,-39.65562070198668,106
LTT  2758,07:10:47.45,-48:55:52.38,5.090000152587891,4.333764151890797,4.084534700246987,3.957548708100523,4.7136803,N,1,-18.45256726487063,197.52895288477595,9.927379051366705,1.4272814,5508514570390830336,107.6977201012826,-48.93121919959045,107
 71 Pup,07:12:33.41,-46:45:31.77,4.489999771118164,4.425827823123775,4.122546567801458,4.081134968580353,4.38301,N,1,-135.80612317341138,107.43332716701347,46.9030776895444,0.49389076,5509770796785820416,108.13922367542024,-46.758827129126175,108
 72 Pup,07:13:13.31,-45:10:59.25,4.874000072479248,5.186351740188776,4.815778283059386,4.8353404542624805,4.855254,N,1,-25.16578246575833,-87.37968922952703,17.362233769305732,0.00011396408,5511635499783885440,108.30546881852204,-45.18312595365751,109
* L02 Pup,07:13:32.31,-44:38:22.95,,0.07000000029802322,,,,N,1,106.757,323.164,,,,108.38466059843168,-44.63970885887889,110
,07:14:38.13,-48:16:18.94,,5.121771203942515,4.713989068745986,4.747794779879948,4.721437,N,1,-4.2717547943725105,-0.1516087784627474,9.048900091907704,-0.09697342,5508659362328792704,108.65889107843373,-48.271927786329506,111
* 145 CMa,07:16:36.83,-23:18:56.13,,2.509999990463257,,,,N,1,-3.816,3.896,,,,109.15347732104,-23.315593963849995,112
* pi. Pup,07:17:08.55,-37:05:50.89,2.700000047683716,0.550000011920929,,,,N,1,-10.05,6.47,,,,109.28565325467379,-37.09747115430162,113
HD  57821,07:22:13.52,-19:00:59.86,4.949999809265137,5.257025143731006,4.872302204774316,4.882885821577101,4.9122424,N,1,-1.1101953303195935,-6.450722186352874,5.465724930604307,-0.0152516365,2930559063426460544,110.55636700315657,-19.016629889873656,114
* eta CMa,07:24:05.70,-29:18:11.17,2.450000047683716,2.440000057220459,,,,N,1,-4.14,5.81,,,,111.02375950100142,-29.303105508471724,115
* sig Pup,07:29:13.83,-43:18:05.16,,1.1200000047683716,,,,N,1,-61.628,189.627,,,,112.30763598742709,-43.30143539413861,116
HD  59612,07:29:51.40,-23:01:27.37,4.860000133514404,4.8739543625966775,4.529571502446667,4.452720425628244,4.7652264,N,1,-2.8311986603639925,4.1716102197064755,0.753483780667761,0.43458796,5618683092877834368,112.46420423729673,-23.024271665481557,117
HD  59890,07:30:42.58,-30:57:44.19,4.650000095367432,4.179277515321893,3.9303650218809913,3.857494753516672,4.4038615,N,1,-11.969376226993967,1.0551673679762454,2.399903285007338,1.0519567,5593345912571693824,112.67744619582736,-30.962275845942536,118
V* KQ Pup,07:33:47.96,-14:31:26.05,,2.0799999237060547,,,,N,1,-6.997,3.998,,,,113.44986160177,-14.52390398785,119
HD  61556,07:38:49.84,-26:48:13.50,4.428999900817871,4.921527393406286,4.445846279363135,4.507606854698016,4.4215617,N,1,-17.567267209002143,21.662057306448673,8.305822243815244,-0.2527852,5612323414549657728,114.70770724641432,-26.80375088742428,120
HD  61831,07:39:27.31,-38:18:28.62,4.840000152587891,5.282588256707712,4.841826678375122,4.883963866087709,4.78793,N,1,-20.69955296393936,16.078579252240328,5.157556531638598,-0.25106955,5585285049228526080,114.86379375953553,-38.30795199266816,121
* alf Mon,07:41:14.83,-09:33:04.07,,2.640000104904175,,,,N,1,-74.989,-19.838,,,,115.31179988937959,-9.551132713051112,122
*   1 Pup,07:43:32.38,-28:24:39.18,,2.319999933242798,,,,N,1,-13.782,29.646,,,,115.88494452232,-28.41088574833,123
LTT  2932,07:43:42.11,-40:56:04.22,5.170000076293945,4.507684479973548,4.265841447237503,4.168137138625021,4.8145227,N,1,130.95989576531375,-170.91889311114645,14.775550351301929,1.2453194,5536661140353547008,115.92547472783934,-40.93450610140845,124
* c Pup,07:45:15.29,-37:58:06.90,,1.2599999904632568,,,,N,1,-10.54,5.584,,,,116.31373389138793,-37.968585259939175,125
